section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
BATHROOMS · Toilets,Bowl,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Toilets,Seat,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Sink,Basin/Sides/Bottom,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Sink,Faucets,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Sink,Pipes,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Sink,Hot Water,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Paper Towel Dispenser,Top/Bottom/Sides,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Paper Towel Dispenser,Handle,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Paper Towel Dispenser,Stocked,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Soap Dispenser,Top/Bottom/Sides,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Soap Dispenser,Stocked,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Soap Dispenser,Wall Under Dispenser,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Trash Cans,Inside,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Trash Cans,Outside,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Trash Cans,Lid,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Walls/Doors,Walls,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Walls/Doors,Inside Door,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Walls/Doors,Outside Door,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Walls/Doors,Door Handle,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Floors,Tile,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Floors,Grout,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · Floors,Floor Drains,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Mirror,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Pictures,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Hand Wash Sign,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Light,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Vent,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Plunger Concealed,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Changing Table,pass fail,,yes,no,1,,,,,,,,yes,yes,
BATHROOMS · General,Rails,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Scale,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Stainless Steel Surfaces,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Condenser Area,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Filter,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Sides,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Door Handle,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Door Track,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Glass,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Meat Case / Digital Line Cooler,Storage Area,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Menuboard,Dust,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Menuboard,Grease,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Menuboard,Lighting,pass fail,,yes,no,1,,,,,,,,yes,yes,
